city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,nearest_region_idx,dist_km_nearest_region,access_score,nearest_provider,nearest_region,nearest_location_name,nearest_lat,nearest_lon,openalex_match_km,openalex_geo_city,openalex_ai_works_recent,openalex_ai_institution_count,openalex_lat,openalex_lon,openalex_match_ok,log_ai_works,ai_works_per_million,log_ai_works_per_million
Hannover,Hannover,52.3744,9.7386,Germany,DE,DEU,Lower Saxony,admin,538068.0,1276457707,70,99.93024599071285,95.12626011123166,azure,germanynorth,"Berlin, Germany North, Europe",53.073635,8.806422,0.565205734795805,Hanover,104,2,52.37052077270508,9.733220050201416,True,4.653960350157523,193.28412022272278,5.26932162490514
Bielefeld,Bielefeld,52.0167,8.5333,Germany,DE,DEU,North Rhine-Westphalia,minor,333786.0,1276112885,70,118.96805332492626,94.22505843576525,azure,germanynorth,"Berlin, Germany North, Europe",53.073635,8.806422,1.849175323494537,Bielefeld,101,1,52.03333,8.53333,True,4.624972813284271,302.58908402389557,5.715675089749565
Landshut,Landshut,48.5397,12.1508,Germany,DE,DEU,Bavaria,minor,72404.0,1276485277,55,292.9638458853111,86.37413460954807,azure,switzerlandnorth,"Zurich, Switzerland North, Europe",47.451542,8.564572,94.28860119511842,Passau,60,1,48.56650161743164,13.431220054626465,False,4.110873864173311,828.6834981492735,6.721044300535817
Weimar,Weimar,50.9833,11.3167,Germany,DE,DEU,Thuringia,minor,65090.0,1276053525,48,209.89487932528687,90.03718451905382,azure,germanywestcentral,"Frankfurt, Germany West Central, Europe",50.110924,8.682127,0.9253430998995147,Weimar,52,1,50.98030090332031,11.32903003692627,True,3.970291913552122,798.8938392994315,6.684479017986677
Hildesheim,Hildesheim,52.15,9.95,Germany,DE,DEU,Lower Saxony,minor,101990.0,1276244190,70,128.48738572410778,93.77764422577921,azure,germanynorth,"Berlin, Germany North, Europe",53.073635,8.806422,0.11476140632286362,Hildesheim,34,1,52.15077,9.95112,True,3.5553480614894135,333.3660162761055,5.812236250077694
Tübingen,Tubingen,48.52,9.0556,Germany,DE,DEU,Baden-Württemberg,minor,90546.0,1276203240,55,124.29998036457769,93.97419241573388,azure,switzerlandnorth,"Zurich, Switzerland North, Europe",47.451542,8.564572,1.8690367249590576,Tübingen,23,1,48.53666687011719,9.058889389038086,True,3.1780538303479458,254.01453404899166,5.541320539804756
Jena,Jena,50.9272,11.5864,Germany,DE,DEU,Thuringia,minor,111407.0,1276659978,48,224.47880458685347,89.38302468730264,azure,germanywestcentral,"Frankfurt, Germany West Central, Europe",50.110924,8.682127,0.3017014488719237,Jena,19,1,50.92877960205078,11.589900016784668,True,2.995732273553991,170.54583643756675,5.1448504987538355
Braunschweig,Braunschweig,52.2692,10.5211,Germany,DE,DEU,Lower Saxony,minor,248292.0,1276941443,70,146.17168827710861,92.95210326684565,azure,germanynorth,"Berlin, Germany North, Europe",53.073635,8.806422,11.729116928382561,Wolfenbüttel,7,1,52.16442108154297,10.540949821472168,True,2.0794415416798357,28.19261192466934,3.37391566098177
Copenhagen,Copenhagen,55.6761,12.5689,Denmark,DK,DNK,Hovedstaden,primary,602481.0,1208763942,70,378.21037586940287,82.76994381210827,azure,germanynorth,"Berlin, Germany North, Europe",53.073635,8.806422,0.4415583538153196,Copenhagen,113,2,55.67648315429688,12.575909614562988,True,4.736198448394496,187.5577819051555,5.239404495221582
Skikda,Skikda,36.8667,6.9,Algeria,DZ,DZA,Skikda,admin,163318.0,1012619903,69,870.8927132962976,64.69758206598277,azure,francesouth,"Marseille, France South, Europe",43.8345,2.1972,2.116822269366011,Skikda,28,1,36.84917449951172,6.890708923339844,True,3.367295829986474,171.44466623397298,5.150076409556734
Algiers,Algiers,36.7764,3.0586,Algeria,DZ,DZA,Alger,primary,3415811.0,1012973369,89,713.2404237921153,70.00383134783502,gcp,europe-southwest1,"Madrid, Spain, Europe",40.4167047,-3.7035825,5.21531032324722,Algiers,25,1,36.75929641723633,3.004081964492798,True,3.258096538021482,7.318906110437609,2.11853076907838
